episode,step,date,action_idx,action_val,reward,state_week_idx,state_progress,state_N_cum,state_apps_remaining,state_DVS,state_LAI,state_TAGP,state_prev_action
5,6,2020-06-02,0,0.0,190.12951352219125,6.0,0.2608695652173913,0.0,4.0,0.7536036036036036,0.7362533844408928,518.3524751416678,0.0
5,7,2020-06-09,0,0.0,215.41199723038608,7.0,0.30434782608695654,0.0,4.0,1.0119047619047619,2.028776217821053,1433.9625946611911,0.0
5,8,2020-06-16,0,0.0,269.3399869666391,8.0,0.34782608695652173,0.0,4.0,1.0646190476190478,3.4600110280129845,2832.760270373179,0.0
5,9,2020-06-23,0,0.0,225.21241768013533,9.0,0.391304347826087,0.0,4.0,1.117666666666667,4.3453545966925935,4597.64015185895,0.0
5,10,2020-06-30,0,0.0,215.00422816004993,10.0,0.43478260869565216,0.0,4.0,1.179214285714286,4.487245189779529,6216.416984707417,0.0
5,11,2020-07-07,0,0.0,161.02313780413715,11.0,0.4782608695652174,0.0,4.0,1.231166666666667,4.34537712550976,7624.256360071816,0.0
5,12,2020-07-14,0,0.0,140.63280223192487,12.0,0.5217391304347826,0.0,4.0,1.275309523809524,4.173383326896994,8831.112331831084,0.0
5,13,2020-07-21,0,0.0,78.8733919023507,13.0,0.5652173913043478,0.0,4.0,1.3269285714285717,3.967566873168459,9849.623300260944,0.0
5,14,2020-07-28,0,0.0,117.7605715214886,14.0,0.6086956521739131,0.0,4.0,1.379119047619048,3.7179536527137276,10694.012450343453,0.0
5,15,2020-08-04,0,0.0,41.61121063075916,15.0,0.6521739130434783,0.0,4.0,1.4361428571428574,3.4324090948159354,11426.417480596527,0.0
5,16,2020-08-11,0,0.0,97.30496854410194,16.0,0.6956521739130435,0.0,4.0,1.5070714285714288,3.1242996811817036,11838.96111990144,0.0
5,17,2020-08-18,0,0.0,47.21664168135794,17.0,0.7391304347826086,0.0,4.0,1.582071428571429,1.9784842620937868,12306.847267343905,0.0
5,18,2020-08-25,0,0.0,29.218214945463842,18.0,0.782608695652174,0.0,4.0,1.643809523809524,0.9117730379075123,12734.784233300405,0.0
5,19,2020-09-01,2,60.0,5.748484115487372,19.0,0.8260869565217391,0.0,4.0,1.6901666666666668,0.5880452425580397,12943.548537736864,0.0
5,20,2020-09-08,0,0.0,11.683278691116357,20.0,0.8695652173913043,60.0,3.0,1.7337380952380956,0.4467385949327128,13130.79848672646,60.0
5,21,2020-09-15,0,0.0,11.79156045302625,21.0,0.9130434782608695,60.0,3.0,1.78202380952381,0.3347796097446399,13295.119478718467,0.0
5,22,2020-09-22,0,0.0,4.425482719227148,22.0,0.9565217391304348,60.0,3.0,1.8332142857142866,0.25976463974596203,13365.298930139154,0.0
